날짜,출처,제목,본문 요약 ,URL
2019.01.01.,국제신문,혐오를 넘어 공존으로 <상> 배타…분노에 물들다,"나와 다른, 소수 집단에 대한 차별과 공격이 혐오로 이어지면서 사회갈등, 분열의 키워드가 됐다. 이에... 제주 예멘 난민 포용 찬반 의견은 온·오프라인에서 충돌하고, 전국의 퀴어축제 현장에서는 성 소수자보다 더 많은...",http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0300&key=20190101.22009012202
2019.01.01.,한라일보,힘차게 새벽을 여는 수협 경매장처럼…,향해 땀과 열정을 쏟아 부을 수 있는 희망찬 한 해가 되기를 소망합니다. 켜켜이 쌓인 갈등을 털고 모두가 하나되는 화합의 해가 되기를 희망합니다. 모든 가정의 건승과 건강을 기원합니다. 사진=제주시수협 경매장에서,http://www.ihalla.com/read.php3?aid=1546268400617493059
2019.01.01.,한라일보,성장 새 기틀 다져 희망의 새싹 틔워야,하지만 검토위원들이 공항 입지선정 평가에 '중대한 결함'을 확인해 이 문제를 원점에서 재검토할 것을 촉구하고 있어 갈등은 내년에도 이어질 것으로 보인다. 제주도는 제주를 블록체인 특구로 지정할 예정이다....,http://www.ihalla.com/read.php3?aid=1546268400617501073
2019.01.01.,한라일보,"[사설] 현안 많고 경제 침체, 새해도 녹록지 않다",우선 제주 제2공항 건설을 둘러싼 논란이 가라앉지 않고 있다. 사전타당성 용역에 대한 부실 의혹이 속시원히 풀리지 않은 탓이다. 제2공항 사전타당성 재조사 검토위원회 활동까지 파행으로 끝나면서 갈등은 더욱...,http://www.ihalla.com/read.php3?aid=1546268400617478043
2019.01.01.,한라일보,[김준기의 문화광장] 정치와 사회로 공진화하는 평화예술,"멀리 오키나와와 제주도, 광주와 인천, 서울, 경기도 등 각지에서 모인 예술인들은 자신이 발딛고 선... 나아가 남북만이 아니라 남한 사회 내부의 갈등을 조율하려는 우리안의 정상회담이 필요하다며, 평화예술의 이름으로...",http://www.ihalla.com/read.php3?aid=1546268400617482099
2019.01.01.,한라일보,[2019 한라일보 신춘문예 소설 당선소감·심사평] 김변호 '리셋',문단 내의 갈등과 문학 시장의 위축을 염려하던 터라 자못 기쁘지 않을 수 없었다. 209편의 작품 중에서... 제주라는 섬에서 살아가는 사람들의 이야기에 더욱 관심이 갔다. 아마도 지역에서 살고 있는 문인의 한 사람으로서...,http://www.ihalla.com/read.php3?aid=1546268400617467036
2019.01.01.,뉴스제주,다시 또 한 해가 가고 새로운 해가 시작,인도주의적 자세와 도민들이 느끼는 불안감 사이에서 갈등을 중재해야 할 제주도정은 법무부와 제주출입국관리청만 바라봐야 했다. 영리병원 개원 허가로 원희룡 제주도지사에 대한 신뢰가 추락했다....,http://www.newsjeju.net/news/articleView.html?idxno=322884
2019.01.01.,Queen,"복이 가득, 재물이 넘실~ 기해년 황금돼지 이야기",뱀띠인 사람과는 서로를 잘 이해하지 못해 의사소통이 어려워 깊은 갈등을 낳을 수 있다. 황금돼지띠... 5시 33분 & 오전 7시 40분 - 제주: 오후 5시 36분 & 오전 7시 37분 [Queen 유화미 기자] 사진 PIGGY BANK CHARM(13만 8천원 판도라),http://www.queen.co.kr/news/articleView.html?idxno=306588
2019.01.01.,미디어제주,갈등을 잘 조절하고 해소하는 한해 되길,"일일이 세기도 벅찰 정도의 갈등이 빚어졌습니다. 제주도는 지난해 소통정책관이라는 자리까지 만들었지만 갈등을 해소를 하기는커녕, 갈등만 더 만들어지고 있습니다. 갈등은 필요한 존재입니다. 갈등이 없는 삶은 인간의...",http://www.mediajeju.com/news/articleView.html?idxno=313537
2019.01.01.,연합뉴스,인천항 새해 바닷길 활짝…공항 하늘길과 시너지효과 기대,"현재 국내 크루즈 전용부두는 부산 북항(22만t급), 서귀포 강정항(15만t급), 제주항(15만t급), 속초항(10만t급)... 인천∼중국 10개 항로 카페리 여객 수는 2016년 92만명에 달했다가 '사드 갈등'이 불거진 2017년에 60만명으로...",http://yna.kr/AKR20181231217700065?did=1195m
2019.01.01.,뉴스1,"[신년인터뷰] 김태석 제주도의회 의장 ""제2공항 갈등해결 가장 시급""","김태석 제주도의회 의장은 새해 가장 해결이 시급한 제주 현안으로 제주 제2공항 건설사업을 둘러싼 갈등을 꼽았다. 김 의장은 뉴스1 제주본부와의 신년 인터뷰에서 ""결과를 내기까지 많이 힘들겠지만 결과만 나오면...",http://news1.kr/articles/?3513697
2019.01.01.,뉴스제주,[2019 신년사] 양윤경 서귀포시장,"현장중심의 소통으로 주민갈등 해소에 노력하겠습니다. 더 자주 만나도록 하겠습니다. 현장에서 대화하며... 산림휴양·치유 등 힐링수요 급증에 따라 무장애 숲 여행, 제주형 웰니스 산림치유, 유아숲 체험 등을 통한...",http://www.newsjeju.net/news/articleView.html?idxno=322879
